Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018]
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.09,89.186,89.287
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1832.63617490023,1920.40352364259,2017.27369979138
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,19365.2539102725,20225.4104929028,20149.7773800471
"Bahrain,BHR,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,9.10943234415004,20.505664160401,14.7975308883519"
"Bangladesh,BGD,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,60548457702.2888,69300619312.4368,78198468709.3616"
Bangladesh,BGD,Rural population (% of total population),SP.RUR.TOTL.ZS,64.917,64.142,63.368
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.083,35.858,36.632
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1213.57332718752,1226.63127448721,1239.57931166936
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1352.66681312243,1487.3795435838,1618.87430945938
"Bangladesh,BGD,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,1.7501253552406,1.98538101281744,1.84356842877916"
"Barbados,BRB,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,..,..,.."
Barbados,BRB,Rural population (% of total population),SP.RUR.TOTL.ZS,68.807,68.841,68.853
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.193,31.159,31.147
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,664.641860465116,665.658139534884,666.606976744186
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,13446.8019574154,13871.1201244211,13986.3177108112
"Barbados,BRB,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,..,..,.."
"Belarus,BLR,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,14774175713.7113,17268695337.163,18769140164.8999"
Belarus,BLR,Rural population (% of total population),SP.RUR.TOTL.ZS,22.339,21.866,21.405
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.661,78.134,78.595
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.8083514016087,46.792242075569,46.7195037884204
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4066.13128099173,4685.23141605707,5153.08555830364
"Belarus,BLR,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,2.97074268567142,2.96476532594608,2.80366823339873"
"Belgium,BEL,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,91959590318.6684,97136748373.2057,103611440166.075"
Belgium,BEL,Rural population (% of total population),SP.RUR.TOTL.ZS,2.081,2.039,1.999
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,97.919,97.961,98.001
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,374.221334214003,375.66571994716,377.584412153236
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,34524.0415605418,36431.3549808128,38814.3465212391
"Belgium,BEL,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,4.43837145394548,4.3720947726355,4.63702852308325"
"Belize,BLZ,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,249831719.754103,248770409.72443,223704341.458313"
Belize,BLZ,Rural population (% of total population),SP.RUR.TOTL.ZS,54.505,54.399,54.276
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.495,45.601,45.724
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,16.1508110477861,16.4738711091626,16.7939938623411
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3787.95220082657,3703.77112744173,3612.14827395081
"Belize,BLZ,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,4.85946954503044,4.87768552477641,4.43403657873265"
"Benin,BEN,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,1856151882.46618,1918913725.21245,2088295466.34977"
Benin,BEN,Rural population (% of total population),SP.RUR.TOTL.ZS,53.771,53.232,52.688
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.229,46.768,47.312
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,96.4177633912735,99.1061014544165,101.853919829727
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,881.362137458416,923.184751325748,1007.97756913022
"Benin,BEN,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,2.33947784203836,3.68355656427994,.."
"Bermuda,BMU,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,..,..,.."
Bermuda,BMU,Rural population (% of total population),SP.RUR.TOTL.ZS,0,0,0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,100
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1195.46294185033,1182.85183096194,1184.68516426289
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..
"Bermuda,BMU,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,19.3869296551245,18.0496791000126,16.0281381701015"
"Bhutan,BTN,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,918666632.934149,1025305305.12845,937138824.516853"
Bhutan,BTN,Rural population (% of total population),SP.RUR.TOTL.ZS,60.572,59.833,59.105
Bhutan,BTN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.428,40.167,40.895
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,19.3138899659506,19.5461414400175,19.7775277714448
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2369.15993419402,2676.98077421099,2640.84180802604
"Bhutan,BTN,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,4.20267085502313,5.10155120881141,6.26530993376602"
"Bolivia,BOL,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,8596051374.8191,9891019681.62084,10574133574.5297"
Bolivia,BOL,Rural population (% of total population),SP.RUR.TOTL.ZS,31.262,30.92,30.575
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.738,69.08,69.425
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.1835253392412,10.3321831440967,10.4801458506416
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2494.17061669202,2616.66451602024,2731.20683014218
"Bolivia,BOL,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,8.89819816355349,8.79101457273733,8.68694235813675"
"Bosnia and Herzegovina,BIH,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,3917728069.67932,4322539472.1678,4929589619.79481"
Bosnia and Herzegovina,BIH,Rural population (% of total population),SP.RUR.TOTL.ZS,52.482,52.124,51.755
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.518,47.876,48.245
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,66.13802734375,65.45951171875,64.92048828125
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4225.78093290718,4574.191706802,5171.76137153089
"Bosnia and Herzegovina,BIH,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,3.23925299283103,3.33816778887881,3.17729110607052"
"Botswana,BWA,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,5021639507.57715,5192989668.90233,5457687995.13687"
Botswana,BWA,Rural population (% of total population),SP.RUR.TOTL.ZS,32.067,31.3,30.554
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.933,68.7,69.446
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,3.81123992024421,3.89096748010516,3.97742487604327
Botswana,BWA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5475.04459709307,6036.19874321645,6190.14703123579
"Botswana,BWA,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,3.42833461542036,3.99480501089115,3.681548740744"
"Brazil,BRA,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,329449775155.386,375048881368.678,341821869259.401"
Brazil,BRA,Rural population (% of total population),SP.RUR.TOTL.ZS,13.958,13.691,13.431
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.042,86.309,86.569
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,24.6661407920901,24.8660384966033,25.0617162430876
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,7393.75079691154,8414.84986840944,7480.59094154594
"Brazil,BRA,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,8.39024281549467,10.1498842677935,8.62714428399348"
"British Virgin Islands,VGB,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,..,..,.."
British Virgin Islands,VGB,Rural population (% of total population),SP.RUR.TOTL.ZS,53.043,52.663,52.277
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.957,47.337,47.723
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,195.7,197.18,198.68
British Virgin Islands,VGB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..
"British Virgin Islands,VGB,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,..,..,.."
"Brunei Darussalam,BRN,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,6531362122.63809,7242966181.47585,8580487434.20565"
Brunei Darussalam,BRN,Rural population (% of total population),SP.RUR.TOTL.ZS,23.01,22.688,22.371
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.99,77.312,77.629
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,79.6584440227704,80.5451612903226,81.3969639468691
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,24154.5333309688,24614.2774106304,24304.3235018918
"Brunei Darussalam,BRN,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,11.5967151814284,11.6652894638074,10.2962198251364"
"Bulgaria,BGR,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,13004977375.5656,14361221549.9856,15472963186.4816"
Bulgaria,BGR,Rural population (% of total population),SP.RUR.TOTL.ZS,25.671,25.331,24.992
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.329,74.669,75.008
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,65.6579034635225,65.1800571112749,64.7110998526161
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6349.10559786069,7132.00163240118,8073.1867647171
"Bulgaria,BGR,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,5.14855274056581,5.49686031798545,5.41494713377715"
"Burkina Faso,BFA,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,2123013955.28763,2552330748.81643,2747799329.08393"
Burkina Faso,BFA,Rural population (% of total population),SP.RUR.TOTL.ZS,71.866,71.257,70.642
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.134,28.743,29.358
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,68.151966374269,70.1508918128655,72.1912828947368
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,411.850921970554,448.949743346296,532.564112079046
"Burkina Faso,BFA,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,4.32598852046668,3.90979908418287,.."
"Burundi,BDI,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,361294121.507891,348734220.02192,337318609.048281"
Burundi,BDI,Rural population (% of total population),SP.RUR.TOTL.ZS,87.612,87.294,86.968
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,12.388,12.706,13.032
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,408.411137071651,421.61308411215,435.178271028037
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,196.666852058015,207.298648315384,205.615292192017
"Burundi,BDI,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,3.77411163374792,2.71057207214789,2.54060975902162"
"Cambodia,KHM,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,5937301268.83375,6842408292.66667,7924615930.57199"
Cambodia,KHM,Rural population (% of total population),SP.RUR.TOTL.ZS,77.418,77.02,76.612
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.582,22.98,23.388
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,89.3173181509177,90.6946181735781,92.0564128710628
Cambodia,KHM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1023.85371606544,1098.52697150773,1184.26508592137
"Cambodia,KHM,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,4.60425356186633,5.03653374714765,4.93803121314257"
"Cameroon,CMR,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,7979140929.24853,8831370364.88571,9971068049.28689"
Cameroon,CMR,Rural population (% of total population),SP.RUR.TOTL.ZS,44.821,44.223,43.626
Cameroon,CMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.179,55.777,56.374
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,50.615681919147,51.9685325040723,53.3439889149796
Cameroon,CMR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1109.44609060845,1139.63339530696,1211.8873428937
"Cameroon,CMR,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,11.5593754655358,11.6211888962897,10.863748398997"
"Canada,CAN,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,..,..,.."
Canada,CAN,Rural population (% of total population),SP.RUR.TOTL.ZS,18.7,18.65,18.589
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.3,81.35,81.411
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,3.97090749336615,4.01861558408139,4.07518823864492
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,34217.8160058945,36914.3426392196,37664.810220618
"Canada,CAN,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,5.58763703208737,5.73320249214884,5.748451006284"
"Caribbean small states,CSS,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,16684259076.8508,17563350347.8041,19482278636.2073"
Caribbean small states,CSS,Rural population (% of total population),SP.RUR.TOTL.ZS,49.0936074079709,48.9553783184939,48.8006384223868
Caribbean small states,CSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.9063925920291,51.0446216815061,51.1993615776132
Caribbean small states,CSS,Population density (people per sq. km of land area),EN.POP.DNST,17.955751512906,18.0683957021119,18.1770161788317
Caribbean small states,CSS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,7693.81959934228,7764.57593572354,7759.87123710476
"Caribbean small states,CSS,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,5.8539009269314,5.75455359258673,5.49239551726203"
"Cayman Islands,CYM,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,357486735.879362,372065092.512744,.."
Cayman Islands,CYM,Rural population (% of total population),SP.RUR.TOTL.ZS,0,0,0
Cayman Islands,CYM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,100
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,260.704166666667,264.091666666667,267.391666666667
Cayman Islands,CYM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..
"Cayman Islands,CYM,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,8.6283547951234,..,.."
"Central African Republic,CAF,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,394633666.111194,428686333.8021,456316137.435223"
Central African Republic,CAF,Rural population (% of total population),SP.RUR.TOTL.ZS,59.382,59.02,58.636
Central African Republic,CAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.618,40.98,41.364
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,7.28384057273107,7.37748884394363,7.49041221227006
Central African Republic,CAF,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,338.40229800458,396.780264028483,435.342550201405
"Central African Republic,CAF,""International tourism, expenditures (% of total imports)"",ST.INT.XPND.MP.ZS,..,..,.."
"Central Europe and the Baltics,CEB,""Industry (including construction), value added (current US$)"",NV.IND.TOTL.CD,379183185428.87,413146556013.836,458939723717.808"
